Sample,source,community,days,filtered
SRR9954061,bittleston_M03,bittleston_M03_filtered,60,filtered
SRR9954063,bittleston_M04,bittleston_M04_filtered,0,filtered
SRR9954065,bittleston_M06,bittleston_M06_filtered,36,filtered
SRR9954066,bittleston_M06,bittleston_M06_unfiltered,36,unfiltered
SRR9954068,bittleston_M06,bittleston_M06_unfiltered,33,unfiltered
SRR9954070,bittleston_M06,bittleston_M06_unfiltered,30,unfiltered
SRR9954072,bittleston_M06,bittleston_M06_unfiltered,27,unfiltered
SRR9954074,bittleston_M06,bittleston_M06_unfiltered,24,unfiltered
SRR9954076,bittleston_M03,bittleston_M03_filtered,36,filtered
SRR9954078,bittleston_M01,bittleston_M01_filtered,39,filtered
SRR9954080,bittleston_M01,bittleston_M01_filtered,42,filtered
SRR9954082,bittleston_M01,bittleston_M01_filtered,33,filtered
SRR9954084,bittleston_M01,bittleston_M01_filtered,36,filtered
SRR9954085,bittleston_M01,bittleston_M01_unfiltered,42,unfiltered
SRR9954087,bittleston_M03,bittleston_M03_unfiltered,21,unfiltered
SRR9954089,bittleston_M10,bittleston_M10_filtered,21,filtered
SRR9954090,bittleston_M08,bittleston_M08_filtered,12,filtered
SRR9953691,bittleston_M01,bittleston_M01_unfiltered,3,unfiltered
SRR9953693,bittleston_M01,bittleston_M01_filtered,3,filtered
SRR9953694,bittleston_M01,bittleston_M01_filtered,0,filtered
SRR9953696,bittleston_M01,bittleston_M01_unfiltered,9,unfiltered
SRR9953698,bittleston_M01,bittleston_M01_filtered,9,filtered
SRR9953700,bittleston_M07,bittleston_M07_unfiltered,21,unfiltered
SRR9953701,bittleston_M07,bittleston_M07_filtered,24,filtered
SRR9953703,bittleston_M07,bittleston_M07_filtered,21,filtered
SRR9953705,bittleston_M05,bittleston_M05_unfiltered,9,unfiltered
SRR9953707,bittleston_M07,bittleston_M07_filtered,27,filtered
SRR9953709,bittleston_M05,bittleston_M05_unfiltered,3,unfiltered
SRR9953711,bittleston_M05,bittleston_M05_unfiltered,6,unfiltered
SRR9953714,bittleston_M05,bittleston_M05_filtered,3,filtered
SRR9953715,bittleston_M05,bittleston_M05_filtered,0,filtered
SRR9953717,bittleston_M10,bittleston_M10_unfiltered,33,unfiltered
SRR9953719,bittleston_M05,bittleston_M05_filtered,15,filtered
SRR9953721,bittleston_M05,bittleston_M05_filtered,18,filtered
SRR9953723,bittleston_M05,bittleston_M05_filtered,21,filtered
SRR9953725,bittleston_M05,bittleston_M05_filtered,24,filtered
SRR9953728,bittleston_M02,bittleston_M02_unfiltered,24,unfiltered
SRR9953730,bittleston_M02,bittleston_M02_unfiltered,18,unfiltered
SRR9953732,bittleston_M02,bittleston_M02_unfiltered,21,unfiltered
SRR9953734,bittleston_M02,bittleston_M02_unfiltered,12,unfiltered
SRR9953739,bittleston_M09,bittleston_M09_unfiltered,15,unfiltered
SRR9953740,bittleston_M09,bittleston_M09_filtered,21,filtered
SRR9953744,bittleston_M09,bittleston_M09_filtered,15,filtered
SRR9953746,bittleston_M07,bittleston_M07_unfiltered,54,unfiltered
SRR9953748,bittleston_M07,bittleston_M07_unfiltered,57,unfiltered
SRR9953752,bittleston_M07,bittleston_M07_unfiltered,51,unfiltered
SRR9953753,bittleston_M07,bittleston_M07_filtered,54,filtered
SRR9953754,bittleston_M04,bittleston_M04_unfiltered,3,unfiltered
SRR9953755,bittleston_M04,bittleston_M04_filtered,3,filtered
SRR9953757,bittleston_M04,bittleston_M04_filtered,6,filtered
SRR9953759,bittleston_M04,bittleston_M04_filtered,9,filtered
SRR9953761,bittleston_M04,bittleston_M04_filtered,12,filtered
SRR9953764,bittleston_M05,bittleston_M05_filtered,42,filtered
SRR9953766,bittleston_M09,bittleston_M09_unfiltered,63,unfiltered
