Sample,study,media,source,days
SRR9953915,bittleston,Cricket,bittleston_M06,54
SRR9953917,bittleston,Cricket,bittleston_M06,57
SRR9953922,bittleston,Cricket,bittleston_M04,36
SRR9953940,bittleston,Cricket,bittleston_M02,54
SRR9953945,bittleston,Cricket,bittleston_M09,42
SRR9954013,bittleston,Cricket,bittleston_M06,48
SRR9954024,bittleston,Cricket,bittleston_M04,54
SRR9954026,bittleston,Cricket,bittleston_M04,51
SRR9954030,bittleston,Cricket,bittleston_M02,27
SRR9954032,bittleston,Cricket,bittleston_M02,30
SRR9954034,bittleston,Cricket,bittleston_M02,33
SRR9954038,bittleston,Cricket,bittleston_M02,39
SRR9954040,bittleston,Cricket,bittleston_M09,3
SRR9954045,bittleston,Cricket,bittleston_M08,63
SRR9954052,bittleston,Cricket,bittleston_M10,6
SRR9954062,bittleston,Cricket,bittleston_M03,63
SRR9954064,bittleston,Cricket,bittleston_M03,15
SRR9954075,bittleston,Cricket,bittleston_M03,33
SRR9954077,bittleston,Cricket,bittleston_M01,36
SRR9954079,bittleston,Cricket,bittleston_M01,39
SRR9954081,bittleston,Cricket,bittleston_M01,30
SRR9954083,bittleston,Cricket,bittleston_M01,33
SRR9954091,bittleston,Cricket,bittleston_M08,12
SRR9954093,bittleston,Cricket,bittleston_M08,3
SRR9954094,bittleston,Cricket,bittleston_M07,63
SRR9954097,bittleston,Cricket,bittleston_M08,9
SRR9954099,bittleston,Cricket,bittleston_M08,6
SRR9954101,bittleston,Cricket,bittleston_M03,18
SRR9954103,bittleston,Cricket,bittleston_M03,6
SRR9954105,bittleston,Cricket,bittleston_M03,9
SRR9954107,bittleston,Cricket,bittleston_M03,12
SRR9954109,bittleston,Cricket,bittleston_M10,3
SRR9954111,bittleston,Cricket,bittleston_M10,45
SRR9954113,bittleston,Cricket,bittleston_M10,42
SRR9954115,bittleston,Cricket,bittleston_M10,39
SRR9954117,bittleston,Cricket,bittleston_M10,36
SRR9954119,bittleston,Cricket,bittleston_M10,48
